machine_name,machine_code,make_model,capacity,location
PRIMARY JAW CRUSHER,AQPL/CR-01,SANDVIK,120TPH,PRIMARY CRUSHER
SECONDARY CONE CRUSHER,AQPL/CR-02,SANDVIK,120TPH,PRIMARY CRUSHER
TERTIARY CONE CRUSHER,AQPL/CR-03,SANDVIK,,TERTIARY CRUSHER
PRIMARY CLASSICATION SCREEN,AQPL/CLS SCR-1,SANDVIK,,PRIMARY CRUSHER
SCRUBBER,AQPL/SCBR,TH,,WASHING
WASHING CLASS. SCREEN,AQPL/CLS SCR-2,TH,,WASHING
DE-WATERING SCREEN,AQPL/DW SCR,TH,,WASHING
Thickener,AQPL/TKNR,TH,,WASHING
FREASH WATER PUMP,AQPL/FRW PUMP,KSB,,WASHING
PROCESS WATER PUMP TO SCRUBER,AQPL/SCBR PUMP,KSB,,WASHING
PROCESS WATER PUMP TO CLASSIFYING SCREEN,AQPL/CLS SCR PUMP,KSB,,WASHING
HYDROCYCLON FEED PUMP,AQPL/HY CY PUMP,WARMAN,,WASHING
THICKNER FEED PUMP,AQPL/TKR PUMP,WARMAN,,WASHING
HEATER-1,AQPL/HTR-1,LAXMI,,DRYING
HEATER-2,AQPL/HTR-2,,,DRYING
HEATER-3,AQPL/HTR-3,,,DRYING
TOMRA SCREEN-1,AQPL/TOM SCR-1,,,TOMRA
TOMRA SCREEN-2,AQPL/TOM SCR-2,,,TOMRA
TOMRA SCREEN-3,AQPL/TOM SCR-3,,,TOMRA
TOMRA SORTER-1,AQPL/TMR-1,TOMRA,,TOMRA
TOMRA SORTER-2,AQPL/TMR-2,TOMRA,,TOMRA
TOMRA SORTER-3,AQPL/TMR-3,TOMRA,,TOMRA
TERTIARY CLASS. SCREEN,AQPL/CLS SCR-3,SANDVIK,,TERTIARY CRUSHER
TERTIARY RECIRCULATION B.C.,AQPL/TER BC-9,SANDVIK,,TERTIARY CRUSHER
PRIMARY BALL MILL,AQPL/BM-1,CEMTECH,,BALL MILL
PRIMARY DYNAMIC SEPERATOR,AQPL/DY SEP-1,CEMTECH,,BALL MILL
PRIMARY BAG HOUSE,AQPL/PR BAG H,,,BALL MILL
MAGNETIC SEPERATOR-1,AQPL/MAG SEP-1,ERIEZ,,BALL MILL
MAGNETIC SEPERATOR-2,AQPL/MAG SEP-2,ERIEZ,,BALL MILL
PRIMARY VIBRO SCREEN,AQPL/VIB SCR-1,ALLGAIER,,BALL MILL
SECONDARY VIBRO SCREEN,AQPL/VIB SCR-2,ALLGAIER,,BALL MILL
PNEMATIC CONVEYING LINE,AQPL/P LINE,OMR EMGINEERING,,BALL MILL
SECONDARY BALL MILL,AQPL/BM-2,CEMTECH,,BALL MILL
SECONDARY DYNAMIC SEPERATOR,AQPL/DY SEP-2,CEMTECH,,BALL MILL
SECONDARY BAG HOUSE,AQPL/SEC BAG H,,,BALL MILL
PRIMARY ID FAN,AQPL/ID FAN-1,MAXFLOW,,BALL MILL
SECONDARY ID FAN,AQPL/ID FAN-2,MAXFLOW,,BALL MILL
EOT CRANE-1,AQPL/EOT CR-1,SPECTRUM FAB & TECH,,BALL MILL
EOT CRANE-2,AQPL/EOT CR-2,SPECTRUM FAB & TECH,,GODOWN
EOT CRANE-3,AQPL/EOT CR-3,SPECTRUM FAB & TECH,,GODOWN
COMPRESSOR-1,AQPL/COMP-1,GARDNER DENVER,,BALL MILL
COMPRESSOR-2,AQPL/COMP-2,GARDNER DENVER,,BALL MILL
COMPRESSOR-3,AQPL/COMP-3,GARDNER DENVER,,BALL MILL
COMPRESSOR-4,AQPL/COMP-4,GARDNER DENVER,,BALL MILL
COMPRESSOR-5,AQPL/COMP-5,ATLAS COPCO,,BALL MILL
CHILLER-1,AQPL/CHLR-1,LAUDA,,TOMRA
CHILLER-2,AQPL/CHLR-2,LAUDA,,TOMRA
CHILLER-3,AQPL/CHLR-3,LAUDA,,TOMRA
COOLING TOWER,AQPL/COOL TWR,,,BALL MILL
PACKING FIBC-A,AQPL/FIBC-A,MIDAS,,BALL MILL
PACKING FIBC-B,AQPL/FIBC-B,MIDAS,,BALL MILL
PACKING FIBC-C,AQPL/FIBC-C,MIDAS,,BALL MILL
PLAIN BAG PACKING MACHINE,AQPL/PAC MC,R.S ENTERPRISES,,GODOWN
DG SET,AQPL/DG,F.G. WILSON,250KVA,HT PANEL
TRANSFORMER,AQPL/TX,UTTAM,4000KVA,TRANSFORMER
SORTING MACHINE,AQPL/SORT MACH,,,BALL MILL
TERTIARY CONE CRUSHER FEED B.C.,AQPL/TER BC-7,SANDVIK,,TERTIARY CRUSHER
TERTIARY CONE CRUSHER DIS. B.C.,AQPL/TER BC-8,SANDVIK,,TERTIARY CRUSHER
TERTIARY LAXMI CLS. SCR UNDER SIZE B.C.,AQPL/TER BC-12,LAXMI ENGINEERING,,TERTIARY CRUSHER
TERTIARY CLASS.SCREEN DIS. B.C.,AQPL/TER BC-10,SANDVIK,,TERTIARY CRUSHER
TERTIARY CLASS.SCREEN POWDER B.C.,AQPL/TER BC-11,SANDVIK,,TERTIARY CRUSHER
TERTIARY LAXMI SCREEN OVERSIZE B.C.,AQPL/TER BC-14,Alif engineering works,,TERTIARY CRUSHER
TERTIARY MAGNETIC SEPERATOR DIS B.C.,AQPL/TER BC-13,Alif engineering works,,TERTIARY CRUSHER
TERTIARY LAXMI CLASSIFICATION SCREEN,AQPL/TER LAX CLS SCR,LAXMI ENGINEERING,,TERTIARY CRUSHER
BALL MILL HOPPER FEED B.C.,AQPL/TER H-7,,,TERTIARY CRUSHER
